EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2242012;1;01/01/2026;1;85,9;728,1;5;17;1;1;1;;0;0,0;0,0;19,7;70,6;85,9;25,8;19,6;12,5;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;0,0;72,9;60,5;38,7;45,9;69,2;85,7;19,9;30,5;26,3;35,9;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/12/2025;1;30,9;189,9;22;12;1;1;1;;0;0,0;0,0;0,0;15,8;19,4;0,0;0,0;0,0;0,0;7,9;0,0;0,0;7,6;18,7;14,9;12,5;9,8;23,8;0,0;0,0;12,7;30,9;15,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/11/2025;1;43,9;423,1;19;23;1;1;1;;0;30,6;21,9;10,5;16,9;18,7;12,8;21,9;35,8;20,8;9,7;13,6;18,3;8,6;0,0;0,0;12,3;7,5;0,0;43,9;23,8;7,5;21,9;9,8;0,0;0,0;0,0;30,8;15,7;9,8;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242012;1;01/10/2025;1;75,9;777,9;22;23;1;1;1;;0;0,0;0,0;15,9;18,3;0,0;0,0;21,3;38,9;60,5;26,3;18,2;42,4;13,5;38,7;12,9;23,8;51,5;35,8;48,6;29,8;45,2;75,9;9,8;0,0;0,0;0,0;0,0;45,8;60,2;25,7;18,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/09/2025;1;25,6;167,4;25;13;1;1;1;;0;13,5;15,8;0,0;0,0;0,0;10,9;8,5;0,0;0,0;0,0;7,2;0,0;9,5;0,0;18,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,8;18,6;25,6;0,0;12,5;0,0;5,9;10,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242012;1;01/08/2025;1;21,9;130,3;11;10;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;10,5;21,9;0,0;0,0;0,0;16,9;0,0;0,0;0,0;0,0;0,0;0,0;12,4;0,0;8,5;0,0;10,9;0,0;0,0;6,5;15,9;20,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/07/2025;1;45,9;158,5;3;10;1;1;1;;0;6,8;12,7;45,9;10,5;18,9;18,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,9;0,0;0,0;0,0;18,2;0,0;0,0;8,6;0,0;0,0;10,5;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/06/2025;1;23,9;126,8;12;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;8,3;0,0;17,9;12,2;15,5;23,9;18,3;9,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;12,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242012;1;01/05/2025;1;45,9;317,3;24;19;1;1;1;;0;15,9;8,5;20,6;18,9;0,0;0,0;0,0;0,0;9,7;15,2;32,8;12,7;25,9;10,2;7,8;0,0;0,0;0,0;0,0;0,0;6,5;10,8;18,7;45,9;0,0;0,0;0,0;8,5;12,9;25,6;10,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242012;1;01/04/2025;1;180,5;1333,0;6;29;1;1;1;;0;56,9;75,5;68,7;80,5;90,7;180,5;120,9;45,7;26,9;15,5;9,8;18,9;25,6;21,3;13,7;9,8;49,9;39,5;19,7;68,9;45,3;18,5;10,9;0,0;37,5;48,9;19,8;52,7;41,6;18,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
