EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2242013;1;01/01/2026;1;86,5;380,5;20;15;1;1;1;;0;0,0;12,5;1,8;14,7;79,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,3;0,0;0,0;0,0;0,0;0,0;86,5;48,7;22,5;9,6;7,1;3,0;29,8;3,7;0,0;0,0;35,4;13,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/12/2025;1;105,7;189,8;18;11;1;1;1;;0;0,0;0,0;2,5;0,0;3,1;0,0;0,0;4,3;0,0;0,0;0,0;0,0;2,3;1,4;0,0;6,5;24,7;105,7;11,5;19,3;8,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/11/2025;1;38,7;122,8;19;12;1;1;1;;0;15,8;0,0;6,7;0,0;1,3;8,3;1,8;1,7;0,0;7,4;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;38,7;0,0;0,0;0,0;0,0;17,1;0,0;5,2;0,0;0,0;17,5;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/10/2025;1;39,3;181,3;19;13;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;31,9;2,6;21,3;0,0;0,0;1,8;2,8;5,4;0,0;0,0;39,3;29,7;3,5;0,0;0,0;0,0;0,0;0,0;0,0;10,2;0,0;3,2;11,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/09/2025;1;17,3;76,2;23;8;1;1;1;;0;2,7;0,0;0,0;0,0;0,0;0,0;8,2;0,0;0,0;0,0;0,0;0,0;5,1;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;17,3;11,5;8,3;12,1;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/08/2025;1;10,1;33,1;10;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;10,1;2,7;0,0;0,0;0,0;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,5;0,0;0,0;0,0;7,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/07/2025;1;42,1;97,1;3;6;1;1;1;;0;0,0;31,0;42,1;8,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,3;0,0;0,0;1,8;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/06/2025;1;16,1;28,1;25;5;1;1;1;;0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;5,2;2,8;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/05/2025;1;20,0;74,4;12;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,6;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,5;10,8;0,0;0,0;0,0;0,0;9,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/04/2025;1;114,8;442,1;5;14;1;1;1;;0;0,0;45,0;0,0;21,1;114,8;75,0;7,8;0,0;0,0;0,0;62,2;0,0;0,0;0,0;4,3;0,0;0,0;0,0;0,0;2,0;22,4;15,9;0,0;0,0;7,0;25,1;0,0;0,0;36,8;2,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/03/2025;1;50,3;143,1;13;11;1;1;1;;0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;50,3;2,1;7,7;1,3;2,5;0,0;4,7;36,0;0,0;0,0;0,0;15,2;0,0;0,0;20,6;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/02/2025;1;14,7;25,5;10;4;1;1;1;;0;2,3;3,0;0,0;0,0;0,0;0,0;0,0;5,5;0,0;14,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2242013;1;01/01/2025;1;22,2;132,8;27;15;1;1;1;;0;4,0;0,0;15,5;0,0;6,5;0,0;1,3;0,0;13,6;15,9;0,0;0,0;6,9;3,1;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;22,2;4,3;19,6;2,0;8,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/12/2024;1;40,6;247,6;5;17;1;1;1;;0;0,0;0,0;10,3;3,2;40,6;0,0;0,0;0,0;0,0;13,4;27,7;2,9;0,0;0,0;9,7;0,0;0,0;0,0;6,1;0,0;3,0;0,0;27,0;10,0;3,9;1,3;3,2;27,7;28,4;29,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/11/2024;1;72,2;247,5;21;16;1;1;1;;0;0,0;0,0;0,0;0,0;1,7;0,0;0,0;0,0;62,5;6,4;5,5;0,0;2,2;48,5;2,4;12,8;5,1;0,0;0,0;7,2;72,2;9,3;4,6;4,8;0,0;0,0;0,0;0,0;1,0;1,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/10/2024;1;44,9;163,0;27;12;1;1;1;;0;0,0;0,0;0,0;7,0;25,4;0,0;0,0;0,0;0,0;12,1;4,4;0,0;7,5;3,2;0,0;0,0;0,0;0,0;4,1;29,0;12,6;0,0;0,0;0,0;8,7;0,0;44,9;4,1;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/09/2024;1;15,6;39,3;28;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,1;4,0;0,0;0,0;0,0;9,4;0,0;0,0;0,0;0,0;0,0;15,6;3,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/08/2024;1;57,5;104,5;26;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,3;57,5;2,3;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/07/2024;1;16,7;63,3;2;8;1;1;1;;0;8,5;16,7;0,0;0,0;0,0;0,0;0,0;0,0;1,0;7,9;0,0;0,0;6,2;14,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;7,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/06/2024;1;10,0;10,0;5;1;1;1;1;;0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/05/2024;1;25,5;61,5;27;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4;5,1;0,0;0,0;0,0;0,0;4,2;2,6;0,0;0,0;0,0;15,5;25,5;0,0;4,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/04/2024;1;7,5;12,9;19;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;2,3;7,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/03/2024;1;212,3;570,3;23;17;1;1;1;;0;0,0;62,4;1,7;0,0;0,0;35,8;10,5;3,9;33,8;0,0;9,1;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,6;0,0;15,2;212,3;32,3;20,9;10,0;25,3;1,7;0,0;0,0;23,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/02/2024;1;53,8;217,9;20;16;1;1;1;;0;32,3;4,5;2,4;0,0;4,9;18,2;0,0;1,1;11,1;19,5;0,0;0,0;2,7;4,7;32,7;24,1;0,0;0,0;1,7;53,8;1,7;2,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
2242013;1;01/01/2024;1;89,1;502,2;14;19;1;1;1;;0;0,0;2,0;3,8;40,2;4,0;7,8;0,0;0,0;0,0;0,0;0,0;3,0;86,0;89,1;5,1;4,8;0,0;3,3;20,5;0,0;27,8;49,6;23,6;38,9;6,0;10,0;0,0;0,0;76,7;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/12/2023;1;58,5;331,3;31;12;1;1;1;;0;0,0;0,0;0,0;0,0;22,2;0,0;0,0;3,0;48,0;27,5;0,0;35,2;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,1;0,0;29,6;0,0;57,8;15,7;11,2;0,0;0,0;0,0;58,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/11/2023;1;90,0;241,8;1;9;1;1;1;;0;90,0;35,6;0,0;8,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,8;28,8;19,8;0,0;0,0;6,2;38,6;0,0;0,0;0,0;4,3;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/10/2023;1;50,6;286,4;8;19;1;1;1;;0;0,0;23,5;3,3;0,0;0,0;26,6;3,5;50,6;0,0;22,7;7,7;0,0;14,4;15,0;3,7;0,0;28,6;0,0;6,7;1,0;5,3;0,0;0,0;0,0;11,3;10,8;14,8;0,0;0,0;34,3;2,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/09/2023;1;44,0;96,7;15;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;29,4;11,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;44,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,8;2,7;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/08/2023;1;36,5;115,1;28;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,3;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;2,0;11,5;36,3;36,5;1,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/07/2023;1;27,5;51,6;30;6;1;1;1;;0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,0;0,0;0,0;3,4;5,4;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/06/2023;1;12,5;24,2;2;3;1;1;1;;0;1,3;12,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/05/2023;1;22,3;54,3;29;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,2;0,0;0,0;0,0;0,0;0,0;2,5;5,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,3;8,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242013;1;01/04/2023;1;56,8;261,1;9;13;1;1;1;;0;15,2;36,3;0,0;0,0;0,0;0,0;8,8;2,5;56,8;35,2;0,0;0,0;0,0;0,0;47,3;30,9;0,0;0,0;10,6;5,4;0,0;0,0;0,0;0,0;0,0;0,0;5,5;3,2;3,4;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242013;1;01/03/2023;1;43,1;117,8;11;9;1;1;1;;0;10,0;20,0;0,0;0,0;0,0;4,9;0,0;6,3;0,0;0,0;43,1;13,1;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,3;0,0;0,0;3,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
