EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243259;1;01/12/2022;3;71,0;202,0;31;25;1;1;1;;0;5,6;0,6;0,0;0,2;0,0;0,6;13,0;7,4;0,0;0,2;5,2;0,4;2,4;8,0;0,2;0,0;5,4;0,2;0,4;13,8;10,0;0,6;8,4;1,0;0,0;0,8;18,2;2,2;0,0;26,2;71,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/11/2022;3;31,6;117,2;16;15;1;1;1;;0;5,4;0,0;0,8;0,0;0,0;0,0;0,0;0,6;4,8;0,8;0,0;9,0;0,2;0,0;5,8;31,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;20,2;11,6;0,2;0,0;2,0;24,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/10/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,6;0,8;0,0;0,0;5,6;0,0;0,0;0,0;;;0,0;0,2;0,6;0,2;0,2;0,0;1,0;;2,0;11,8;;;0,0;;;;20,2;0,2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1
2243259;1;01/09/2022;3;29,0;72,4;23;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,2;0,0;2,0;6,6;0,0;0,0;0,0;0,0;14,8;29,0;0,0;0,0;0,0;8,0;2,2;5,8;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/08/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;4,2;4,4;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
2243259;1;01/07/2022;3;;;;;0;0;0;;0;0,0;0,0;;0,2;5,4;13,2;28,8;0,0;0,0;0,0;;;0,0;;;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
2243259;1;01/06/2022;3;;;;;0;0;0;;0;;0,0;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/05/2022;3;9,2;15,2;5;7;1;1;1;;0;0,0;0,0;0,0;0,0;9,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;3,8;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2243259;1;01/04/2022;3;12,0;39,0;1;13;1;1;1;;0;12,0;0,2;2,0;0,0;0,0;0,2;0,2;0,0;10,6;12,0;0,0;0,0;0,0;0,0;0,8;0,2;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243259;1;01/03/2022;3;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,6;0,2;0,4;0,2;0,2;8,8;11,2;1,8;;;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
2243259;1;01/02/2022;3;38,4;223,0;8;19;1;1;1;;0;0,2;20,6;11,4;0,2;37,2;0,4;0,2;38,4;29,2;24,4;2,0;0,2;10,8;0,2;12,2;0,0;0,0;19,0;1,2;13,4;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
