EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
22900000;1;01/12/2025;;1;1;847.5692;409.0073;533.6798;20.0;4.0;1;1;1;0.0;0.0;447.8577;473.9827;424.9315;409.0073;467.0568;514.8601;493.5668;506.3045;539.3757;471.208;432.9743;426.2683;478.1556;458.7936;449.2195;447.8577;478.1556;784.6249;781.5213;847.5692;723.3545;660.8704;537.9224;563.8656;540.8304;624.5994;529.2321;472.5947;464.2966;561.0926;532.1233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22900000;1;01/11/2025;;1;1;516.291;215.3616;306.4016;27.0;18.0;1;1;1;0.0;0.0;219.575;228.0882;223.8172;234.5482;241.072;241.072;246.5568;247.659;255.4231;257.657;249.8686;263.2719;255.4231;252.0852;237.8021;224.8823;218.5189;215.3616;225.9491;220.6328;265.5299;411.6464;504.8835;442.4249;430.2874;513.4306;516.291;482.3415;434.3199;431.6301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
22900000;1;01/10/2025;;1;1;281.526;216.4122;231.4784;24.0;30.0;1;1;1;0.0;0.0;223.8172;221.6925;221.6925;221.6925;224.8823;219.575;221.6925;221.6925;223.8172;234.5482;232.3878;220.6328;234.5482;235.6311;230.2344;229.1604;232.3878;217.4647;225.9491;233.4671;236.7157;239.9803;266.6614;281.526;266.6614;247.659;233.4671;220.6328;219.575;216.4122;219.575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22900000;1;01/09/2025;;1;1;234.5482;217.4647;224.3577;25.0;19.0;1;1;1;0.0;0.0;227.0178;225.9491;223.8172;224.8823;227.0178;223.8172;223.8172;221.6925;223.8172;221.6925;224.8823;225.9491;225.9491;223.8172;223.8172;219.575;225.9491;222.754;217.4647;223.8172;220.6328;224.8823;219.575;224.8823;234.5482;228.0882;223.8172;224.8823;230.2344;221.6925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
22900000;1;01/08/2025;;1;1;249.8686;200.8447;227.5604;2.0;29.0;1;1;1;0.0;0.0;248.7629;249.8686;248.7629;241.072;243.2606;243.2606;234.5482;243.2606;238.8903;232.3878;234.5482;228.0882;234.5482;230.2344;233.4671;236.7157;235.6311;225.9491;223.8172;227.0178;211.1773;223.8172;216.4122;215.3616;217.4647;210.1358;205.988;214.3128;200.8447;202.8964;201.8696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22900000;1;01/07/2025;;1;1;290.8148;247.659;270.9178;1.0;30.0;3;3;3;;0.0;290.8148;286.157;276.9218;283.8382;289.6479;273.4864;279.2206;283.8382;279.2206;274.6299;281.526;281.526;274.6299;274.6299;272.3447;267.7947;268.9296;272.3447;271.2046;265.5299;268.9296;267.7947;265.5299;262.1455;261.0208;254.3087;252.0852;258.7765;254.3087;247.659;257.657;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0
22900000;1;01/05/2025;;1;1;735.4726;358.7656;458.3523;2.0;23.0;3;3;3;0.0;0.0;671.1506;735.4726;729.405;696.3405;623.1631;597.503;583.4069;553.9848;543.7439;438.3657;426.2683;462.9187;373.9752;373.9752;432.9743;388.1131;382.9505;373.9752;379.0947;373.9752;377.8125;372.6992;358.7656;368.8804;377.8125;371.4247;380.3784;376.5319;363.8105;358.7656;361.2849;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22900000;1;01/04/2025;;1;1;1099.7178;594.6746;756.8027;14.0;5.0;1;1;1;0.0;0.0;847.5692;735.4726;699.3248;672.6236;594.6746;669.6787;660.8704;663.8021;636.1302;610.2871;623.1631;833.263;995.108;1099.7178;925.2549;879.6563;817.4646;784.6249;694.85;750.7163;703.8093;714.311;847.5692;866.7728;790.8447;708.3035;663.8021;772.2355;721.8445;720.3357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
22900000;1;01/03/2025;;1;1;1013.6669;549.5875;763.7101;22.0;14.0;1;1;1;0.0;0.0;958.3024;931.8328;964.9592;897.4764;762.9876;767.6068;674.0977;643.3734;608.8621;584.8113;573.6079;586.2169;563.8656;549.5875;577.8005;663.8021;669.6787;681.4847;656.4812;682.9653;831.6785;1013.6669;902.3576;879.6563;830.0951;839.6111;841.2007;850.7596;894.2274;869.9876;921.9719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22900000;1;01/02/2025;;1;1;1251.5355;646.2784;892.5594;25.0;8.0;1;1;1;0.0;0.0;886.1223;981.6695;1122.8594;1143.1737;1013.6669;836.435;684.4471;646.2784;681.4847;657.9432;663.8021;729.405;726.3776;793.9608;696.3405;1076.6572;1065.1575;850.7596;709.8038;649.188;732.4366;841.2007;1160.634;1198.6147;1251.5355;1148.9889;1091.0605;951.6614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0
