Vazão (m³/s);Permanência (%)
2,751899958;100
2,751899958;99,99
2,751899958;99,99
2,829600096;99,98
2,829600096;99,98
2,829600096;99,97
2,875200033;99,97
2,875200033;99,96
2,875200033;99,96
2,875200033;99,95
2,959700108;99,95
2,959700108;99,95
2,959700108;99,94
2,959700108;99,94
2,959700108;99,93
2,959700108;99,93
2,959700108;99,92
3,129699945;99,92
3,129699945;99,91
3,129699945;99,91
3,129699945;99,91
3,129699945;99,9
3,226599932;99,9
3,226599932;99,89
3,226599932;99,89
3,226599932;99,88
3,226599932;99,88
3,226599932;99,87
3,226599932;99,87
3,226599932;99,86
3,260799885;99,86
3,34010005;99,86
3,363399982;99,85
3,394599915;99,85
3,394599915;99,84
3,394599915;99,84
3,394599915;99,83
3,394599915;99,83
3,394599915;99,82
3,394599915;99,82
3,394599915;99,82
3,394599915;99,81
3,394599915;99,81
3,394599915;99,8
3,394599915;99,8
3,483999968;99,79
3,502300024;99,79
3,502300024;99,78
3,502300024;99,78
3,502300024;99,78
3,502300024;99,77
3,502300024;99,77
3,502300024;99,76
3,502300024;99,76
3,502300024;99,75
3,502300024;99,75
3,502300024;99,74
3,502300024;99,74
3,502300024;99,73
3,502300024;99,73
3,502300024;99,73
3,530999899;99,72
3,530999899;99,72
3,530999899;99,71
3,530999899;99,71
3,64350009;99,7
3,64350009;99,7
3,64350009;99,69
3,670000076;99,69
3,670000076;99,69
3,670000076;99,68
3,670000076;99,68
3,670000076;99,67
3,670000076;99,67
3,670000076;99,66
3,670000076;99,66
3,670000076;99,65
3,670000076;99,65
3,670000076;99,64
3,670000076;99,64
3,670000076;99,64
3,670000076;99,63
3,670000076;99,63
3,670000076;99,62
3,670000076;99,62
3,670000076;99,61
3,670000076;99,61
3,670000076;99,6
3,670000076;99,6
3,670000076;99,6
3,778000116;99,59
3,778000116;99,59
3,786900043;99,58
3,786900043;99,58
3,786900043;99,57
3,786900043;99,57
3,786900043;99,56
3,786900043;99,56
3,786900043;99,56
3,786900043;99,55
3,786900043;99,55
3,786900043;99,54
3,786900043;99,54
3,786900043;99,53
3,811700106;99,53
3,811700106;99,52
3,811700106;99,52
3,811700106;99,51
3,811700106;99,51
3,811700106;99,51
3,811700106;99,5
3,928100109;99,5
3,928100109;99,49
3,928100109;99,49
3,932399988;99,48
3,932399988;99,48
3,932399988;99,47
3,932399988;99,47
3,955899954;99,47
3,955899954;99,46
3,955899954;99,46
3,955899954;99,45
3,955899954;99,45
3,955899954;99,44
3,955899954;99,44
3,955899954;99,43
3,955899954;99,43
3,955899954;99,42
3,955899954;99,42
3,955899954;99,42
3,955899954;99,41
3,955899954;99,41
3,955899954;99,4
3,955899954;99,4
3,955899954;99,39
3,955899954;99,39
3,955899954;99,38
3,955899954;99,38
3,955899954;99,38
3,955899954;99,37
3,955899954;99,37
3,955899954;99,36
3,955899954;99,36
3,955899954;99,35
3,955899954;99,35
3,955899954;99,34
3,955899954;99,34
4,079999924;99,34
4,079999924;99,33
4,079999924;99,33
4,079999924;99,32
4,079999924;99,32
4,079999924;99,31
4,079999924;99,31
4,079999924;99,3
4,079999924;99,3
4,079999924;99,29
4,079999924;99,29
4,079999924;99,29
4,079999924;99,28
4,079999924;99,28
4,079999924;99,27
4,079999924;99,27
4,079999924;99,26
4,079999924;99,26
4,079999924;99,25
4,102700233;99,25
4,102700233;99,25
4,102700233;99,24
4,102700233;99,24
4,102700233;99,23
4,102700233;99,23
4,102700233;99,22
4,202000141;99,22
4,202000141;99,21
4,229800224;99,21
4,229800224;99,21
4,229800224;99,2
4,234399796;99,2
4,234399796;99,19
4,252200127;99,19
4,252200127;99,18
4,252200127;99,18
4,252200127;99,17
4,252200127;99,17
4,252200127;99,16
4,252200127;99,16
4,252200127;99,16
4,252200127;99,15
4,252200127;99,15
4,252200127;99,14
4,252200127;99,14
4,252200127;99,13
4,252200127;99,13
4,252200127;99,12
4,252200127;99,12
4,252200127;99,12
4,252200127;99,11
4,252200127;99,11
4,252200127;99,1
4,252200127;99,1
4,252200127;99,09
4,252200127;99,09
4,252200127;99,08
4,252200127;99,08
4,252200127;99,07
4,252200127;99,07
4,345799923;99,07
4,345799923;99,06
4,345799923;99,06
4,381599903;99,05
4,381599903;99,05
4,381599903;99,04
4,381599903;99,04
4,381599903;99,03
4,381599903;99,03
4,381599903;99,03
4,381599903;99,02
4,381599903;99,02
4,381599903;99,01
4,381599903;99,01
4,381599903;99
4,381599903;99
4,381599903;98,99
4,381599903;98,99
4,381599903;98,99
4,381599903;98,98
4,381599903;98,98
4,381599903;98,97
4,381599903;98,97
4,381599903;98,96
4,381599903;98,96
4,390600204;98,95
4,390600204;98,95
4,390600204;98,94
4,390600204;98,94
4,390600204;98,94
4,390600204;98,93
4,404300213;98,93
4,404300213;98,92
4,404300213;98,92
4,404300213;98,91
4,404300213;98,91
4,404300213;98,9
4,404300213;98,9
4,404300213;98,9
4,404300213;98,89
4,404300213;98,89
4,404300213;98,88
4,404300213;98,88
4,404300213;98,87
4,404300213;98,87
4,40719986;98,86
4,491600037;98,86
4,53550005;98,85
4,53550005;98,85
4,53550005;98,85
4,53550005;98,84
4,53550005;98,84
4,53550005;98,83
4,548699856;98,83
4,548699856;98,82
4,548699856;98,82
4,548699856;98,81
4,548699856;98,81
4,548699856;98,81
4,548699856;98,8
4,548699856;98,8
4,558899879;98,79
4,558899879;98,79
4,558899879;98,78
4,558899879;98,78
4,558899879;98,77
4,558899879;98,77
