Ano;Mes;Bom_Sucesso_Chuva_Total_mm;Fagundes_Chuva_Total_mm;PCHFagundes_Chuva_Total_mm;FazCarmo_Chuva_Total_mm;Paraiso_Chuva_Total_mm
2013;9;76.2;62;3;98.6;169.3
2013;10;83.7;75.5;10;78.4;257.1
2013;11;216.5;20.5;16.4;219.2;132.8
2013;12;210.4;142.5;28.8;358.2;491.3
2014;1;78.2;68.66;46;120.4;144.9
2014;2;39.1;12.4;2.4;124.6;42.8
2014;3;133.8;141.7;55;288.1;243.5
2014;4;110.3;109.1;55.6;285.5;156.8
2014;5;8.8;23.4;4.6;102.2;207.1
2014;6;;8.8;3.4;93;98.4
2014;7;23.2;32.8;5.6;85.2;224.5
2014;8;15.2;5;6.4;70.1;106.7
2014;9;5;8.2;0;58.3;76.2
2014;10;28.1;26.3;39.4;123.8;50
2014;11;122.7;132.6;74.8;243.1;254.4
2014;12;;65.6;47.8;133.3;8.5
2015;1;151.8;87.1;0;100.2;243.2
2015;2;84.5;189.3;84.4;179.2;144.6
2015;3;238.4;148;393.2;190.4;201.1
2015;4;58.4;34.8;173;137.2;270
2015;5;30.5;31.6;22.8;39.7;141.7
2015;6;;10.1;1.8;112.1;134
2015;7;22.7;15.9;78.2;49.6;84.8
2015;8;2.8;2.4;6;9.7;19.1
2015;9;85.6;74.3;0;86.1;59.3
2015;10;32.2;40.9;94;96.6;105.6
2015;11;180.7;177.6;109.4;142.6;253
2015;12;;222.5;2.2;207;150.7
2016;1;365.3;276.4;1.2;490.9;335
2016;2;257.1;150.4;0;275.1;520.3
2016;3;169.3;112.4;22;152.3;350.9
2016;4;39.7;10.2;45.2;41.6;36.1
2016;5;33.1;33.9;0;70.9;104.9
2016;6;92.2;108.8;39.6;112.7;149.4
2016;7;0.2;0;30.6;16.5;5.9
2016;8;18.5;15;62;33.3;67.2
2016;9;85.5;54.7;230.6;98.9;129.2
2016;10;89;93.4;188.8;110.8;
2016;11;197.7;270.9;183.4;378.3;471.5
2016;12;230.7;216.4;112.8;228.6;379.7
2017;1;162.8;166.8;119;288.5;486.4
2017;2;165.9;159.3;52.4;53;290.3
2017;3;103.5;142.1;64.6;305.6;465.1
2017;4;67.5;10.1;16.8;259.1;286
2017;5;58.8;72.1;0.4;36.5;103.8
2017;6;39.5;34.5;26.8;68;121.8
2017;7;13.5;0;18.8;52.5;73.7
2017;8;26.4;25.1;65.4;63.6;72.1
2017;9;0.3;0;149.4;5.4;18.2
2017;10;104.5;70.3;68.3;82.4;106.5
2017;11;104.8;138.5;160.8;206.1;401.4
2017;12;197.4;95;131.2;122.8;339.4
2018;1;266.1;202.9;152.4;395.2;562.5
2018;2;309.4;147.9;0;335.9;566.5
2018;3;184.2;139.7;41.2;373.6;726.6
2018;4;50.5;51.3;10.8;96.2;122
2018;5;62.2;44;14.4;56;92.7
2018;6;4.8;1.7;53.2;46;76.9
2018;7;19.8;6.2;123.6;113.7;57.5
2018;8;82.4;68.3;44;95.4;160.6
2018;9;135.4;91.5;88.6;92.1;42.8
2018;10;56;37.6;110.4;183.3;366.1
2018;11;161;109.7;64.2;314.4;550.9
2018;12;150.7;105.8;0;193.4;258.1
2019;1;182.3;87.6;77.6;141.5;149.8
2019;2;183.2;196;47;133.2;394.9
2019;3;64.6;126.5;64;;417.3
2019;4;53.1;36.5;17.6;80.3;269
2019;5;55.1;34.8;7.2;118.3;231.4
2019;6;29.5;27.4;8;41.7;71.3
2019;7;7.8;10.6;73.8;11.7;0
2019;8;11.4;8.1;83;96.6;49.7
2019;9;62.5;67.9;73.4;135.4;223.3
2019;10;74.5;99.4;236.6;131;261.2
2019;11;97.8;67.1;12.4;332.3;375.9
2019;12;292.5;173;79;214.2;781.1
2020;1;232.1;194.1;53.6;250.3;551.7
2020;2;250.7;246.4;7.6;302.2;719.2
2020;3;265.5;91.5;13.8;282.8;829
2020;4;18.7;14;10;109.8;171.5
2020;5;54.1;31.4;5;119.1;184.5
2020;6;4.6;0;13;34;0
2020;7;6.5;9.8;28;44;169.5
2020;8;16;9.8;28.8;90.8;249.7
2020;9;36.2;25.1;156.8;75.2;99.1
2020;10;77.2;26.6;230;128.4;100.4
2020;11;145.7;178.9;91.4;265.9;508.5
2020;12;378.8;213.2;148.2;453;838.9
2021;1;101;104.2;54.2;235;893
2021;2;188.4;134.7;23.8;308.6;581.2
2021;3;124.6;85.5;25.6;108.2;434.2
2021;4;25.6;18.5;6.4;114.1;419.3
2021;5;7.1;22.5;0.6;83.9;236.4
2021;6;;15.4;10;71.3;163.4
2021;7;3.8;0;17.8;30.1;23.7
2021;8;8.6;8.4;82.2;82.9;
2021;9;37.8;21.8;13.4;70;178.4
2021;10;165.6;144.8;209;234.2;
2021;11;123.4;125.6;194;205.7;369.6
2021;12;;192.6;223;411.1;550.8
2022;1;255.1;191.1;39;260.5;536.8
2022;2;300.5;164.7;39;277.3;723.5
2022;3;50;45.1;15.2;220;318.4
2022;4;57;80.7;1.6;238.7;264
2022;5;23.9;7.8;49;18.9;53.8
2022;6;0.5;0;9.2;82.4;184.5
