EstacaoCodigo,NivelConsistencia,Data,Cota,Vazao
58425000,1,23/09/2025,124.0,6.435
58425000,1,16/06/2025,128.0,6.7
58425000,1,15/11/2024,157.0,13.2
58425000,1,02/07/2024,68.0,16.409
58425000,1,03/04/2024,90.0,23.947
58425000,1,19/10/2023,30.0,6.94
58425000,1,30/09/2023,18.0,6.406
58425000,1,10/07/2023,33.0,7.63
58425000,1,16/03/2023,85.0,21.2
58425000,1,20/10/2022,33.0,11.6
58425000,1,16/08/2022,28.0,5.97
58425000,1,10/05/2022,52.0,11.7
58425000,1,21/10/2021,98.0,24.936
58425000,1,22/10/2019,22.0,6.24
58425000,1,15/07/2019,19.0,5.641
58425000,1,30/04/2019,40.0,9.063
58425000,1,12/02/2019,36.0,7.949
58425000,1,18/10/2018,37.0,7.707
58425000,1,16/08/2018,24.0,5.585
58425000,1,22/05/2018,48.0,11.1
58425000,1,20/02/2018,65.0,15.1
58425000,1,20/02/2018,65.0,150.942
58425000,1,30/01/2018,133.0,39.0
58425000,1,22/11/2017,58.0,12.446
58425000,1,19/09/2017,14.0,4.26
58425000,1,15/06/2017,62.0,13.5
58425000,1,10/02/2017,74.0,17.4
58425000,1,25/10/2016,23.0,6.476
58425000,1,27/07/2016,18.0,54.097
58425000,1,16/04/2016,46.0,99.426
58425000,1,12/11/2015,22.0,61.414
58425000,1,27/08/2015,13.0,3.92
58425000,1,28/07/2015,26.0,70.623
58425000,1,15/04/2015,37.0,84.736
58425000,1,29/10/2014,31.0,77.491
58425000,1,15/07/2014,47.0,94.065
58425000,1,08/04/2014,52.0,115.087
58425000,1,28/01/2014,49.0,102.011
58425000,1,31/10/2013,43.0,129.208
58425000,1,13/07/2013,63.0,165.105
58425000,1,18/04/2013,90.0,216.126
58425000,1,17/10/2012,57.0,156.609
58425000,1,10/07/2012,81.5,211.551
58425000,1,11/04/2012,129.0,35.5
58425000,1,20/02/2012,102.0,24.166
58425000,1,04/10/2011,54.0,131.132
58425000,1,23/06/2011,72.0,162.715
58425000,1,18/02/2011,94.0,221.011
58425000,1,28/11/2010,86.5,184.412
58425000,1,13/09/2010,37.0,8.12
58425000,1,13/09/2010,37.0,81.212
58425000,1,29/05/2010,94.0,19.0
58425000,1,08/02/2010,66.0,15.7
58425000,1,25/10/2009,59.0,14.02
58425000,1,12/07/2009,47.0,10.6
58425000,1,24/09/2008,38.0,9.42
58425000,1,21/06/2008,50.0,12.123
58425000,1,23/03/2008,93.0,21.528
58425000,1,15/09/2007,19.0,6.139
58425000,1,26/05/2007,60.0,15.744
