EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2242026;1;01/01/2026;1;88,9;282,9;30;13;1;1;1;;0;0,0;3,0;16,5;14,6;11,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;55,9;3,1;12,5;16,4;9,3;15,4;0,0;0,0;0,0;0,0;88,9;34,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/12/2025;1;30,9;137,6;20;16;1;1;1;;0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;5,6;10,2;3,1;0,0;17,4;3,6;0,9;1,8;3,7;8,7;19,5;30,9;9,5;0,0;0,0;0,0;15,6;0,0;0,0;0,0;2,3;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/11/2025;1;18,2;68,4;1;9;1;1;1;;0;18,2;0,0;2,0;0,0;0,0;0,0;0,0;0,0;7,6;0,0;0,0;0,0;0,0;0,0;0,0;1,1;3,4;0,0;17,3;0,0;0,0;0,0;0,0;13,9;0,0;0,1;0,0;0,0;4,8;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/10/2025;1;27,1;73,8;28;13;1;1;1;;0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;2,0;0,4;16,9;1,0;5,5;1,9;0,2;0,0;0,0;0,0;12,9;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,1;0,0;0,4;4,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/09/2025;1;12,9;20,0;17;6;1;1;1;;0;0,2;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,9;0,0;0,0;0,0;0,0;0,0;6,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/08/2025;1;6,4;19,1;30;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;4,8;0,0;5,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;2,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/07/2025;1;14,0;18,5;26;5;1;1;1;;0;0,2;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;14,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/06/2025;1;14,2;19,7;9;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,0;14,2;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/05/2025;1;0,3;2,1;25;13;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,0;0,0;0,0;0,1;0,2;0,1;0,0;0,1;0,2;0,1;0,0;0,0;0,0;0,0;0,1;0,0;0,3;0,1;0,3;0,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/04/2025;1;55,0;137,1;5;17;1;1;1;;0;0,0;6,5;0,0;7,5;55,0;16,2;0,0;0,0;0,0;5,1;4,9;0,0;9,5;4,1;0,2;0,1;0,0;5,1;0,0;8,6;0,5;0,0;0,4;0,0;8,9;3,6;0,0;0,0;0,9;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/03/2025;1;38,4;147,3;25;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;9,5;0,0;34,6;0,1;36,5;0,0;6,6;0,1;10,9;4,0;5,8;0,0;0,0;0,0;0,0;38,4;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/02/2025;1;19,5;60,2;15;8;1;1;1;;0;13,1;0,9;2,1;0,0;0,0;0,0;0,0;0,0;0,0;5,2;0,0;0,0;0,0;6,6;19,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;12,7;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2242026;1;01/01/2025;1;54,2;272,7;7;22;1;1;1;;0;0,0;0,9;14,6;0,2;0,7;1,3;54,2;0,2;2,0;0,0;1,4;0,0;4,5;2,1;9,0;0,0;0,7;0,0;0,0;0,0;0,0;1,2;1,6;40,8;44,2;0,0;39,6;15,6;16,2;4,1;17,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/12/2024;1;36,8;202,3;11;22;1;1;1;;0;0,0;0,0;1,4;11,3;2,4;0,0;0,0;0,0;0,0;4,8;36,8;0,0;0,0;2,9;19,0;0,2;0,3;0,3;1,2;0,0;2,4;2,3;19,0;1,5;0,3;5,8;27,3;26,6;0,5;16,7;19,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/11/2024;1;133,3;246,1;9;17;1;1;1;;0;0,0;0,0;0,0;0,0;5,2;2,3;0,2;0,2;133,3;0,2;0,0;0,0;8,1;19,1;2,3;6,6;4,4;0,0;0,0;0,0;22,9;7,4;0,2;20,7;0,4;0,0;0,0;0,0;0,0;12,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/10/2024;1;22,9;96,9;21;17;1;1;1;;0;0,0;0,0;0,0;0,1;0,3;0,0;0,0;0,0;0,0;0,0;4,5;0,4;0,0;0,1;0,0;0,0;2,2;0,0;0,0;22,8;22,9;1,8;0,0;0,1;17,6;0,2;1,9;0,7;0,1;17,2;4,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/09/2024;1;35,2;36,4;22;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,2;1,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/08/2024;1;30,5;43,5;26;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,5;2,8;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/07/2024;1;10,7;20,1;1;4;1;1;1;;0;10,7;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,1;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/06/2024;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/05/2024;1;28,5;31,2;27;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;28,5;0,1;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/04/2024;1;21,5;24,4;8;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,5;0,8;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/03/2024;1;39,0;220,8;20;23;1;1;1;;0;16,8;11,0;1,1;0,0;0,0;29,4;4,4;15,8;0,1;13,9;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;4,6;39,0;2,0;8,3;18,5;0,7;6,6;3,1;24,7;14,4;1,2;0,7;3,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/02/2024;1;41,2;182,5;15;18;1;1;1;;0;27,1;1,1;3,9;0,0;0,3;0,0;0,0;0,0;19,0;0,0;1,1;0,0;0,0;22,0;41,2;17,3;0,0;0,0;1,2;10,7;8,8;18,3;1,2;0,5;0,1;0,0;3,2;0,0;5,5;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
2242026;1;01/01/2024;1;68,4;300,7;14;21;1;1;1;;0;0,1;2,0;9,2;41,3;14,2;0,0;0,0;0,0;0,0;0,0;0,1;0,1;12,2;68,4;6,8;15,6;0,0;0,8;2,4;0,0;45,1;4,2;0,5;30,3;3,0;0,0;0,0;0,3;43,7;0,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/12/2023;1;35,6;112,5;26;13;1;1;1;;0;2,0;0,0;2,2;0,1;0,0;0,0;0,0;0,0;31,2;0,0;0,0;10,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;18,3;0,0;1,7;0,3;35,6;3,0;2,8;0,0;0,0;3,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/11/2023;1;56,5;124,7;1;10;1;1;1;;0;56,5;0,1;0,0;16,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,5;16,3;1,1;0,0;0,0;7,1;0,0;0,0;0,0;0,0;4,8;1,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/10/2023;1;43,4;228,0;27;24;1;1;1;;0;6,4;30,3;0,3;0,0;0,7;12,3;0,2;23,5;0,1;4,1;0,1;0,0;16,6;0,2;0,2;0,0;9,6;15,4;0,1;0,5;0,0;5,7;0,0;0,0;17,0;5,1;43,4;0,0;0,7;34,8;0,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/09/2023;1;17,1;19,8;15;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,1;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,9;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/08/2023;1;22,5;53,2;28;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,2;0,0;0,0;8,0;0,0;0,0;0,0;0,0;3,7;14,3;22,5;2,5;0,7;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/07/2023;1;8,3;21,3;19;10;1;1;1;;0;0,0;0,0;1,1;0,3;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;8,3;0,1;0,0;0,0;0,0;0,0;0,0;0,6;3,9;0,0;1,2;0,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/06/2023;1;12,9;25,1;17;5;1;1;1;;0;8,2;0,5;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,9;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/05/2023;1;6,1;12,1;11;10;1;1;1;;0;0,0;2,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,1;0,9;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,1;0,2;0,0;1,4;0,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/04/2023;1;20,0;79,7;15;16;1;1;1;;0;1,7;0,3;0,0;0,0;0,0;3,9;0,0;1,9;13,2;5,2;0,0;0,0;0,0;0,0;20,0;3,3;1,2;0,0;5,7;4,7;0,0;0,0;3,4;0,0;0,0;0,0;10,9;1,0;3,0;0,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2242026;1;01/03/2023;1;44,6;103,6;20;16;1;1;1;;0;1,6;0,0;0,0;0,0;0,0;3,7;0,0;0,0;0,0;0,0;0,0;12,4;7,8;0,3;16,7;0,1;0,1;0,8;0,5;44,6;0,0;0,1;0,9;0,0;0,0;0,2;0,0;0,4;0,0;0,0;13,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2242026;1;01/02/2023;1;82,7;217,4;15;16;1;1;1;;0;0,0;0,0;0,0;0,0;1,3;0,7;9,1;23,0;3,5;0,0;1,7;1,1;1,8;17,1;82,7;17,0;0,0;14,9;0,3;23,1;0,0;3,8;0,0;16,3;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2242026;1;01/01/2023;1;35,7;287,0;20;24;1;1;1;;0;7,5;4,6;1,0;6,8;20,9;16,4;11,4;8,8;22,0;34,3;10,4;2,1;5,6;3,7;0,0;0,0;0,0;0,0;0,1;35,7;21,4;3,4;0,0;32,3;17,0;0,0;0,0;1,1;1,8;17,5;1,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
