EstacaoCodigo;NivelConsistencia;Data;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
22680000;1;23/10/2025;190;306,0;164,526;191,658;78,087;0,859;2,454;Leonardo/Ivanildo;16
22680000;1;22/04/2025;189;349,0;274,918;227,681;79,138;1,207;2,877;Leonardo / Ivanildo;16
22680000;1;17/02/2025;188;330,0;231,093;208,424;78,718;1,108;2,647;Leonardo/Ivanildo;16
22680000;1;24/09/2024;187;279,0;111,775;177,003;79,425;0,632;2,228;Elessandro/Jessivan;16
22680000;1;19/06/2024;186;299,0;147,107;190,921;77,38;0,771;2,467;Elessandro/Diogo;16
22680000;1;05/04/2024;185;382,0;346,513;239,185;77,53;1,449;3,085;Elessandro/Diogo;16
22680000;2;06/12/2023;184;314,0;199,0;214,0;79,2;0,933;2,7;Leonardo / Ivanildo;16
22680000;1;06/12/2023;184;314,0;199,381;213,691;79,172;0,933;2,699;Leonardo / Ivanildo;16
22680000;2;17/08/2023;183;290,0;135,0;181,0;78,4;0,747;2,31;Pedro/LŽo;16
22680000;1;17/08/2023;183;290,0;135,469;181,318;78,428;0,747;2,311;Pedro/LŽo;16
22680000;2;27/04/2023;182;328,0;232,0;224,0;79,0;1,03;2,83;Leonardo / Ivanildo;16
22680000;1;27/04/2023;182;328,0;231,646;223,603;78,969;1,03;2,831;Leonardo / Ivanildo;16
22680000;2;18/11/2022;181;334,0;255,0;232,0;79,5;1,09;2,92;Leonardo/Ivanildo;16
22680000;1;18/11/2022;181;334,0;255,157;232,251;79,504;1,09;2,92;Leonardo/Ivanildo;16
22680000;2;22/07/2022;180;301,0;165,0;198,0;78,5;0,83;2,52;Leonardo/ Ivanildo;16
22680000;1;22/07/2022;180;301,0;164,502;198,133;78,535;0,83;2,522;Leonardo/ Ivanildo;16
22680000;2;13/04/2022;179;354,0;296,0;230,0;79,7;1,29;2,88;Leonardo/Vitor;16
22680000;1;13/04/2022;179;354,0;296,017;229,784;79,746;1,288;2,88;Leonardo/Vitor;16
22680000;2;30/08/2021;178;286,0;124,0;178,0;75,4;0,697;2,35;Leonardo/ Wallace;16
22680000;1;30/08/2021;178;286,0;123,921;177,786;75,427;0,697;2,35;Leonardo/ Wallace;16
22680000;2;19/10/2019;177;288,0;131,0;182,0;76,1;0,718;2,39;Leonardo/Rafael;16
22680000;1;19/10/2019;177;288,0;130,758;182,212;76,068;0,718;2,395;Leonardo/Rafael;16
22680000;2;20/07/2019;176;291,0;136,0;182,0;74,8;0,749;2,44;Leonardo/Rafael;16
22680000;1;20/07/2019;176;291,0;136,41;182,163;74,776;0,749;2,436;Leonardo/Rafael;16
