Ano;Mes;Chuva_Total_mm
2013;1;316.7
2013;2;156.8
2013;3;244.6
2013;4;37.9
2013;5;49.9
2013;6;27.4
2013;7;52.2
2013;8;20.5
2013;9;76.2
2013;10;83.7
2013;11;216.5
2013;12;210.4
2014;1;78.2
2014;2;39.1
2014;3;133.8
2014;4;110.3
2014;5;8.8
2014;6;16.5
2014;7;23.2
2014;8;15.2
2014;9;5
2014;10;28.1
2014;11;122.7
2014;12;61.4
2015;1;151.8
2015;2;84.5
2015;3;238.4
2015;4;58.4
2015;5;30.5
2015;6;11
2015;7;22.7
2015;8;2.8
2015;9;85.6
2015;10;32.2
2015;11;180.7
2015;12;181
2016;1;365.3
2016;2;257.1
2016;3;169.3
2016;4;39.7
2016;5;33.1
2016;6;92.2
2016;7;0.2
2016;8;18.5
2016;9;85.5
2016;10;89
2016;11;197.7
2016;12;230.7
2017;1;162.8
2017;2;165.9
2017;3;103.5
2017;4;67.5
2017;5;58.8
2017;6;39.5
2017;7;13.5
2017;8;26.4
2017;9;0.3
2017;10;104.5
2017;11;104.8
2017;12;197.4
2018;1;266.1
2018;2;309.4
2018;3;184.2
2018;4;50.5
2018;5;62.2
2018;6;4.8
2018;7;19.8
2018;8;82.4
2018;9;135.4
2018;10;56
2018;11;161
2018;12;150.7
2019;1;182.3
2019;2;183.2
2019;3;64.6
2019;4;53.1
2019;5;55.1
2019;6;29.5
2019;7;7.8
2019;8;11.4
2019;9;62.5
2019;10;74.5
2019;11;97.8
2019;12;292.5
2020;1;232.1
2020;2;250.7
2020;3;265.5
2020;4;18.7
2020;5;54.1
2020;6;4.6
2020;7;6.5
2020;8;16
2020;9;36.2
2020;10;77.2
2020;11;145.7
2020;12;378.8
2021;1;101
2021;2;188.4
2021;3;124.6
2021;4;25.6
2021;5;7.1
2021;6;23.3
2021;7;3.8
2021;8;8.6
2021;9;37.8
2021;10;165.6
2021;11;123.4
2021;12;234.7
2022;1;255.1
2022;2;300.5
2022;3;50
2022;4;57
2022;5;23.9
2022;6;0.5
2022;7;6.8
2022;8;15
2022;9;71.5
2022;10;63.9
2022;11;154.3
2022;12;256.6
2023;1;287
2023;2;217.4
2023;3;103.6
2023;4;79.7
2023;5;12.1
2023;6;25.1
2023;7;21.3
2023;8;53.2
2023;9;19.8
2023;10;228
2023;11;124.7
2023;12;112.5
2024;1;300.7
2024;2;182.5
2024;3;220.8
2024;4;24.4
2024;5;31.2
2024;6;0
2024;7;20.1
2024;8;43.5
2024;9;36.4
2024;10;96.9
2024;11;246.1
2024;12;202.3
2025;1;272.7
2025;2;60.2
2025;3;147.3
2025;4;137.1
2025;5;2.1
2025;6;19.7
2025;7;18.5
2025;8;19.1
2025;9;20
2025;10;73.8
2025;11;68.4
2025;12;137.6
