EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
58425000;1;01/02/2026;;1;1;515,071;118,408;260,427;27;18;1;1;1;0,0;0;21,028;220,065;191,263;136,429;352,546;24,754;373,897;411,583;463,911;342,823;244,585;221,478;161,651;161,651;170,446;136,429;134,119;118,408;21,028;150,626;319,457;470,616;136,429;224,315;235,809;218,656;515,071;511,598;;;
58425000;1;01/12/2025;;1;1;336,077;67,346;102,623;20;1;1;1;1;0,0;0;67,346;72,629;69,089;78,075;85,587;74,427;73,526;69,967;74,427;79,927;85,587;77,157;85,587;82,737;85,587;81,796;118,408;134,119;191,263;336,077;215,849;129,548;103,512;86,546;81,796;95,372;91,406;81,796;83,683;74,427;114,068
58425000;1;01/11/2025;;1;1;107,684;52,497;73,474;24;13;1;1;1;0,0;0;85,587;80,859;76,242;7,085;74,427;69,089;67,346;68,215;74,427;7,085;62,228;55,665;52,497;57,278;66,481;69,089;69,089;7,085;7,085;74,427;69,089;71,737;83,683;107,684;91,406;82,737;78,075;83,683;72,629;77,157;
58425000;1;01/10/2025;;1;1;386,308;43,458;88,742;20;8;1;1;1;0,0;0;63,916;59,732;57,278;50,942;54,866;58,909;54,072;43,458;43,458;45,652;91,406;99,408;81,796;72,629;77,157;7,085;74,427;67,346;72,629;386,308;122,815;96,375;92,391;81,796;76,242;78,999;71,737;188,608;125,043;93,381;97,381
58425000;1;01/09/2025;;1;1;72,629;4,789;64,034;28;12;1;1;1;0,0;0;69,967;60,559;69,089;57,278;50,942;55,665;54,866;64,766;62,228;57,278;52,497;4,789;60,559;62,228;69,089;66,481;7,085;69,967;66,481;66,481;64,766;63,916;69,089;7,085;71,737;69,089;68,215;72,629;67,346;68,215;
58425000;1;01/08/2025;;1;1;95,372;65,622;75,099;9;4;1;1;1;0,0;0;69,967;7,085;69,089;65,622;7,085;71,737;77,157;73,526;95,372;89,449;82,737;83,683;80,859;74,427;7,085;67,346;68,215;65,622;69,967;77,157;93,381;79,927;76,242;7,085;79,927;78,075;72,629;67,346;71,737;72,629;7,085
58425000;1;01/07/2025;;1;1;103,512;65,622;75,713;2;20;1;1;1;0,0;0;71,737;103,512;85,587;76,242;71,737;71,737;69,967;7,085;71,737;7,085;78,075;75,332;73,526;74,427;80,859;76,242;71,737;69,089;67,346;65,622;68,215;74,427;81,796;75,332;72,629;101,451;83,683;78,075;74,427;68,215;72,629
58425000;1;01/06/2025;;1;1;11,623;67,346;78,575;10;23;1;1;1;0,0;0;85,587;85,587;77,157;79,927;74,427;74,427;85,587;79,927;107,684;11,623;85,587;80,859;83,683;76,242;73,526;74,427;73,526;71,737;69,089;71,737;69,967;68,215;67,346;71,737;7,085;77,157;76,242;79,927;76,242;72,629;
58425000;1;01/05/2025;;1;1;13,759;84,633;104,034;1;28;1;1;1;0,0;0;13,759;129,548;119,504;114,068;105,589;127,287;114,068;109,795;105,589;99,408;99,408;118,408;122,815;105,589;106,634;100,427;95,372;92,391;95,372;90,425;86,546;89,449;95,372;101,451;122,815;103,512;87,509;84,633;89,449;88,477;86,546
58425000;1;01/04/2025;;1;1;993,882;85,587;241,115;6;1;1;1;1;0,0;0;85,587;155,487;118,408;26,253;601,028;993,882;504,679;342,823;179,432;21,028;490,947;213,057;193,935;171,719;157,941;141,097;138,755;13,759;150,626;25,649;207,518;191,263;155,487;139,924;155,487;221,478;193,935;167,914;153,049;141,097;
58425000;1;01/03/2025;;1;1;172,995;67,346;96,386;14;8;1;1;1;0,0;0;69,089;77,157;81,796;76,242;78,999;72,629;77,157;67,346;76,242;127,287;89,449;107,684;79,927;172,995;98,392;105,589;93,381;118,408;95,372;114,068;103,512;98,392;82,737;87,509;154,266;101,451;114,068;98,392;93,381;85,587;89,449
58425000;1;01/02/2025;;1;1;290,419;60,559;116,682;1;27;1;1;1;0,0;0;290,419;224,315;170,446;147,023;125,043;11,623;120,603;118,408;111,923;122,815;111,923;114,068;107,684;114,068;136,429;107,684;100,427;94,374;92,391;85,587;78,999;79,927;78,075;77,157;95,372;83,683;60,559;101,451;;;
58425000;1;01/01/2025;;1;1;370,819;98,392;180,844;27;22;1;1;1;0,0;0;196,621;193,935;339,443;202,039;160,411;154,266;224,315;193,935;221,478;172,995;161,651;141,097;160,411;162,896;162,896;160,411;136,429;115,147;110,857;11,623;114,068;98,392;111,923;160,411;185,967;14,583;370,819;284,122;235,809;175,558;235,809
