fid;DN;a_quilômetros quadrados;p_quilômetros
1;21;0.01;0.4
2;21;0;0.29
3;21;0;0.12
4;21;0;0.17
5;21;0;0.12
6;21;0;0.23
7;21;0.01;0.58
8;21;0;0.23
9;21;0;0.12
10;15;0.01;0.41
11;15;0.05;1.04
12;21;0;0.29
13;3;0;0.12
14;21;0;0.34
15;24;0;0.23
16;3;0;0.12
17;15;0.05;1.55
18;15;0;0.17
19;15;0;0.17
20;3;0;0.12
21;21;0;0.23
22;21;0;0.12
23;15;0;0.12
24;21;0.01;0.52
25;3;0;0.12
26;15;0;0.17
27;21;0;0.12
28;3;0.04;1.32
29;21;0;0.29
30;21;0;0.23
31;21;0;0.12
32;21;0;0.12
33;21;0;0.12
34;21;0.04;1.39
35;3;0;0.4
36;3;0.06;1.85
37;3;0;0.12
38;15;0;0.12
39;21;0;0.12
40;15;0;0.12
41;21;0.04;1.15
42;21;0.01;0.46
43;3;0.02;0.8
44;21;0.01;0.52
45;15;0.03;1.03
46;3;0;0.12
47;21;0.03;0.86
48;21;0.09;2.46
49;12;0;0.35
50;15;0;0.35
51;3;0;0.17
52;21;0.02;0.8
53;21;0.02;0.86
54;21;0;0.12
55;3;0;0.12
56;21;0.01;0.52
57;21;0;0.12
58;3;0;0.12
59;9;0.01;0.4
60;21;0.01;0.52
61;21;0;0.23
62;21;0;0.12
63;3;0;0.12
64;3;0;0.23
65;12;0;0.23
66;15;0.03;0.92
67;3;0.05;2.01
68;3;0;0.17
69;15;0.01;0.4
70;21;0;0.17
71;21;0;0.17
72;21;0;0.17
73;3;0;0.12
74;3;0;0.12
75;21;0;0.12
76;21;0.04;1.89
77;12;0.01;0.63
78;3;0.01;0.46
79;33;0.01;0.35
80;21;0;0.17
81;21;0;0.23
82;15;0;0.17
83;21;0;0.12
84;21;0;0.17
85;21;0;0.29
86;21;0.01;0.46
87;3;0;0.17
88;15;0;0.12
89;21;0;0.12
90;3;0;0.12
91;21;0;0.12
92;15;0;0.12
93;21;0;0.12
94;21;0.04;1.5
95;3;0;0.17
96;21;0;0.12
97;21;0.02;0.8
98;21;0;0.23
99;15;0;0.17
100;21;0;0.12
101;21;0;0.17
102;21;0.01;0.46
103;3;0;0.17
104;21;0;0.12
105;21;0;0.12
106;3;0.01;0.64
107;21;0.01;0.57
108;21;0;0.17
109;3;0;0.34
110;21;0.01;0.69
111;3;0;0.23
112;21;0;0.12
113;15;0;0.17
114;21;0.01;0.91
115;21;0;0.12
116;21;0.06;2.19
117;15;0.06;1.56
118;21;0.02;1.1
119;33;0.01;0.47
120;3;0.01;0.52
121;21;0.01;0.57
122;21;0;0.23
123;21;0;0.12
124;21;0;0.17
125;21;0.01;0.98
126;21;0;0.17
127;3;0.23;3.97
128;21;0.09;2.65
129;15;0.1;2.19
130;21;0.02;0.64
131;15;0;0.4
132;3;0;0.23
133;21;0;0.12
134;21;0;0.28
135;15;0.04;1.56
136;21;0.02;1.16
137;21;0.06;1.9
138;21;0;0.17
139;21;0;0.23
140;21;0;0.23
141;3;0;0.12
142;3;0;0.34
143;3;0;0.12
144;3;0.04;1.32
145;21;0;0.17
146;3;0.01;0.52
147;15;0;0.23
148;21;0.02;0.92
149;21;0;0.29
150;21;0;0.12
151;21;0;0.34
152;21;0;0.17
153;21;0;0.23
154;15;0.17;2.76
155;3;0;0.17
156;3;0;0.17
157;21;0;0.17
158;3;0.2;3.62
159;3;0.01;0.52
160;21;0;0.12
161;21;0;0.12
162;21;0;0.28
163;21;0;0.23
164;15;0;0.12
165;21;0;0.17
166;3;0.06;2.53
167;21;0.01;0.58
168;21;0;0.12
169;3;0.4;5.97
170;21;0.03;1.16
171;3;0.01;0.46
172;15;0.01;0.4
173;15;0;0.23
174;21;0;0.12
