EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN
58425000;2;01/03/1962;26/03/1966;295.0;0.0;1;01/fev;1;12.948;-0.53;1.6
58425000;2;01/03/1962;26/03/1966;500.0;295.0;1;02/fev;1;328.086;1.0;1.599
58425000;2;27/03/1966;28/02/1971;133.0;10.0;1;01/mar;1;136.429;-0.41;1.699
58425000;2;27/03/1966;28/02/1971;295.0;133.0;1;02/mar;1;12.95;-0.53;1.6
58425000;2;27/03/1966;28/02/1971;450.0;295.0;1;03/mar;1;328.086;1.0;1.599
58425000;2;01/03/1971;19/11/1973;288.0;10.0;1;01/fev;1;14.8;-0.3;1.56
58425000;2;01/03/1971;19/11/1973;350.0;288.0;1;02/fev;1;328.086;1.0;1.599
58425000;2;20/11/1973;27/06/1974;106.0;40.0;1;01/mar;1;12.505;-0.36;1.6
58425000;2;20/11/1973;27/06/1974;287.0;106.0;1;02/mar;1;16.16;-0.16;1.539
58425000;2;20/11/1973;27/06/1974;300.0;287.0;1;03/mar;1;328.086;1.0;1.599
58425000;2;28/06/1974;13/01/1978;285.0;20.0;1;01/fev;1;160.922;-0.16;1.539
58425000;2;28/06/1974;13/01/1978;500.0;285.0;1;02/fev;1;328.086;1.0;1.599
58425000;2;14/01/1978;31/12/1978;66.0;20.0;1;01/abr;1;16.13;-0.21;1.6
58425000;2;14/01/1978;31/12/1978;106.0;66.0;1;02/abr;1;12.505;-0.36;1.6
58425000;2;14/01/1978;31/12/1978;287.0;106.0;1;03/abr;1;16.16;-0.16;1.539
58425000;2;14/01/1978;31/12/1978;300.0;287.0;1;04/abr;1;328.086;1.0;1.599
58425000;2;01/01/1979;31/12/1981;288.0;20.0;1;01/fev;1;14.8;-0.3;1.56
58425000;2;01/01/1979;31/12/1981;500.0;288.0;1;02/fev;1;328.086;1.0;1.599
58425000;2;01/01/1982;04/05/2002;133.0;10.0;1;01/mar;1;15.523;-0.3;1.6
58425000;2;01/01/1982;04/05/2002;291.0;133.0;1;02/mar;1;13.0;-0.49;1.6
58425000;2;01/01/1982;04/05/2002;500.0;291.0;1;03/mar;1;328.086;1.0;1.599
58425000;2;05/05/2002;31/12/2005;106.0;10.0;1;01/abr;1;13.0;-0.49;1.6
58425000;2;05/05/2002;31/12/2005;133.0;106.0;1;02/abr;1;136.429;-0.41;1.699
58425000;2;05/05/2002;31/12/2005;295.0;133.0;1;03/abr;1;12.95;-0.53;1.6
58425000;2;05/05/2002;31/12/2005;450.0;295.0;1;04/abr;1;328.086;1.0;1.599
58425000;2;01/01/2006;31/12/2009;78.0;0.0;1;01/abr;1;13.5;-0.43;1.6
58425000;2;01/01/2006;31/12/2009;133.0;78.0;1;02/abr;1;136.429;-0.41;1.699
58425000;2;01/01/2006;31/12/2009;295.0;133.0;1;03/abr;1;12.95;-0.53;1.6
58425000;2;01/01/2006;31/12/2009;500.0;295.0;1;04/abr;1;328.086;1.0;1.599
58425000;2;01/01/2010;22/10/2014;133.0;0.0;1;01/mar;1;136.429;-0.41;1.699
58425000;2;01/01/2010;22/10/2014;295.0;133.0;1;02/mar;1;12.95;-0.53;1.6
58425000;2;01/01/2010;22/10/2014;500.0;295.0;1;03/mar;1;328.086;1.0;1.599
58425000;2;23/10/2014;06/08/2018;58.0;0.0;1;01/abr;1;151.145;-0.35;1.64
58425000;2;23/10/2014;06/08/2018;133.0;58.0;1;02/abr;1;136.429;-0.41;1.699
58425000;2;23/10/2014;06/08/2018;295.0;133.0;1;03/abr;1;12.95;-0.53;1.6
58425000;2;23/10/2014;06/08/2018;500.0;295.0;1;04/abr;1;328.086;1.0;1.599
58425000;2;07/08/2018;31/12/2023;58.0;0.0;1;01/mai;1;136.429;-0.41;1.95
58425000;2;07/08/2018;31/12/2023;63.0;58.0;1;02/mai;1;151.145;-0.35;1.7
58425000;2;07/08/2018;31/12/2023;133.0;63.0;1;03/mai;1;136.429;-0.41;1.699
58425000;2;07/08/2018;31/12/2023;295.0;133.0;1;04/mai;1;12.95;-0.53;1.6
58425000;2;07/08/2018;31/12/2023;500.0;295.0;1;05/mai;1;328.086;1.0;1.599
58425000;1;01/01/2024;14/11/2024;133.0;0.0;1;01/mar;1;136.429;-0.41;1.699
58425000;1;15/11/2024;31/12/2026;233.0;100.0;1;01/mar;1;136.429;0.59;1.699
58425000;1;01/01/2024;14/11/2024;295.0;133.0;1;02/mar;1;12.95;-0.53;1.6
58425000;1;15/11/2024;31/12/2026;395.0;233.0;1;02/mar;1;12.95;0.47;1.6
58425000;1;01/01/2024;14/11/2024;400.0;295.0;1;03/mar;1;328.086;1.0;1.599
58425000;1;15/11/2024;31/12/2026;600.0;395.0;1;03/mar;1;328.086;2.0;1.599
